"OBJECTID","Parent_ID","Zone_ID","Jurisdiction_ID","Name","Nom","GIS_Size_Ha","SIG_Superficie_Ha","SurveySize_Ha","ArpentageSuperficie_Ha","GazetteSize_Ha","GazetteSuperficie_Ha","GIS_ZoneSize_Ha","SIG_ZoneSuperficie_Ha","ProvinceTerritory","ProvinceTerritoire","LegalStatus","StatutLegal","Legislation_En","Legislation_Fr","ProtectionType","TypeProtection","IUCN_Category","Categorie_UICN","Biome_En","Biome_Fr","ProtectionDate","GazetteDate","ARMS_ID","DFRP_ID","PA_Comments","AP_Commentaires","Shape_STArea__","Shape_STLength__","Shape_STArea_1","Shape_STLength_1","Shape_STArea_12","Shape_STLength_12","Shape_Length","Shape_Area"
"191","730007800","730007800","7800","Murray Lake Migratory Bird Sanctuary","lac Murray, Refuge d’oiseaux migrateurs du","1589.18","1589.18","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","Vl","Vl","Terrestrial","Terrestre","19480101000000","","","","N/A","N/A","15891758.7758789","39568.97460142","0.00212898","0.47949631","0.0021289868977874","0.479496317146685","0.479496317146685","0.00212898689832712"
"192","730008000","730008000","8000","Neely Lake Migratory Bird Sanctuary","lac Neely, Refuge d’oiseaux migrateurs du","346.22","346.22","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","lV","lV","Terrestrial","Terrestre","19520101000000","","","","N/A","N/A","3462181.46679688","10164.62026206","0.00046041","0.10924966","0.000460414218196092","0.10924966846119","0.10924966846119","0.000460414217756013"
"193","730008400","730008400","8400","Old Wives Lake Migratory Bird Sanctuary","lac Old Wives, Refuge d’oiseaux migrateurs du","32390.61","32390.61","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","lV","lV","Terrestrial","Terrestre","19250101000000","","","","N/A","N/A","323906081.290039","105361.18550638","0.04069908","1.24729132","0.0406990878736906","1.24729132516699","1.24729132516699","0.040699087869338"
"194","730008500","730008500","8500","Opuntia Lake Migratory Bird Sanctuary","lac Opuntia, Refuge d’oiseaux migrateurs du","1391.32","1391.32","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Migratory Bird Convention Act","","Migratory Bird Sanctuary","","lV","lV","Terrestrial","Terrestre","19520101000000","","","","N/A","N/A","13913176.9299316","28392.36077492","0.00181293","0.31851923","0.00181293598734555","0.318519234605844","0.318519234605844","0.00181293598394798"
"195","730009000","730009000","9000","Pope National Wildlife Area","Pope, Réserve nationale de faune de","28.87","28.87","","","","","","","Manitoba","Manitoba","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","lV","lV","Terrestrial","Terrestre","19780101000000","","","","N/A","N/A","288698.0102539","4536.98454204","3.628e-005","0.05105674","3.628749618656e-005","0.0510567492527626","0.0510567492527626","3.62874961477308e-005"
"196","730009500","730009501","9501","Prairie National Wildlife Area - Unit number 01","Prairies - Unité numéro 01, Réserve nationale de faune des","64.73","64.73","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 01","Prairie National Wildlife Area - Unit number 01","647296.19873046","3218.23750629","8.484e-005","0.03792274","8.4846748450218e-005","0.0379227451619438","0.0379227451619438","8.4846748197607e-005"
"197","730009500","730009502","9502","Prairie National Wildlife Area - Unit number 02","Prairies - Unité numéro 02, Réserve nationale de faune des","37.22","37.22","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 02","Prairie National Wildlife Area - Unit number 02","372217.73608398","3698.12982161","4.932e-005","0.04534725","4.93251200168743e-005","0.0453472511264364","0.0453472511264364","4.9325121693049e-005"
"198","730009500","730009503","9503","Prairie National Wildlife Area - Unit number 03","Prairies - Unité numéro 03, Réserve nationale de faune des","64.61","64.61","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 03","Prairie National Wildlife Area - Unit number 03","646125.92041015","3215.36449667","8.572e-005","0.03817607","8.57209565765515e-005","0.0381760711520785","0.0381760711520785","8.57209568129962e-005"
"199","730009500","730009504","9504","Prairie National Wildlife Area - Unit number 04","Prairies - Unité numéro 04, Réserve nationale de faune des","64.99","64.99","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 04","Prairie National Wildlife Area - Unit number 04","649862.83935546","3224.57912008","8.639e-005","0.03836775","8.63900290823949e-005","0.0383677515080997","0.0383677515080997","8.63900297041005e-005"
"200","730009500","730009505","9505","Prairie National Wildlife Area - Unit number 05","Prairies - Unité numéro 05, Réserve nationale de faune des","65.04","65.04","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 05","Prairie National Wildlife Area - Unit number 05","650384.11157226","3225.85981153","8.265e-005","0.03731653","8.26518839858181e-005","0.0373165373949957","0.0373165373949957","8.26518839022877e-005"
